symbol,side,quantity,price
MARK:P-BTC-108500-100625,SELL,0.1,1178.275196386431
MARK:C-BTC-109500-110625,SELL,0.1,0.0
MARK:P-BTC-109500-110625,SELL,0.1,0.0
MARK:C-BTC-110500-110625,BUY,0.1,0.0
MARK:P-BTC-108500-110625,BUY,0.1,0.0
MARK:C-BTC-109500-110625,BUY,0.1,20.47420131541
MARK:P-BTC-109500-110625,BUY,0.1,20.47420131541
MARK:C-BTC-110500-110625,SELL,0.1,20.470106884590002
MARK:P-BTC-108500-110625,SELL,0.1,20.470106884590002
MARK:C-BTC-108000-120625,SELL,0.1,0.09999000000000001
MARK:P-BTC-108000-120625,SELL,0.1,951.142042953333
MARK:C-BTC-109000-120625,BUY,0.1,0.10001
MARK:P-BTC-107000-120625,BUY,0.1,0.10001
MARK:C-BTC-108000-120625,BUY,0.1,10.399121138133
MARK:P-BTC-108000-120625,BUY,0.1,10.399121138133
MARK:C-BTC-109000-120625,SELL,0.1,10.397041521867001
MARK:P-BTC-107000-120625,SELL,0.1,10.397041521867001
MARK:C-BTC-104500-130625,SELL,0.1,356.331677438583
MARK:P-BTC-104500-130625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105500-130625,BUY,0.1,0.10001
MARK:P-BTC-103500-130625,BUY,0.1,0.10001
MARK:C-BTC-104500-130625,BUY,0.1,2998.200746275618
MARK:P-BTC-104500-130625,BUY,0.1,2998.200746275618
MARK:C-BTC-105500-130625,SELL,0.1,2997.601166084382
MARK:P-BTC-103500-130625,SELL,0.1,2997.601166084382
MARK:C-BTC-105000-140625,SELL,0.1,27.493284886551
MARK:P-BTC-105000-140625,SELL,0.1,0.09999000000000001
MARK:C-BTC-107000-140625,BUY,0.1,0.10001
MARK:P-BTC-103000-140625,BUY,0.1,0.10001
MARK:C-BTC-105000-140625,BUY,0.1,27.498784093449
MARK:P-BTC-105000-140625,BUY,0.1,0.10001
MARK:C-BTC-107000-140625,SELL,0.1,0.09999000000000001
MARK:P-BTC-103000-140625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105500-150625,SELL,0.1,0.0
MARK:P-BTC-105500-150625,SELL,0.1,0.0
MARK:C-BTC-106500-150625,BUY,0.1,0.0
MARK:P-BTC-104500-150625,BUY,0.1,0.0
MARK:C-BTC-105500-150625,BUY,0.1,2561.293146024232
MARK:P-BTC-105500-150625,BUY,0.1,2561.293146024232
MARK:C-BTC-106500-150625,SELL,0.1,2560.7809386157683
MARK:P-BTC-104500-150625,SELL,0.1,2560.7809386157683
MARK:C-BTC-106500-160625,SELL,0.1,0.0
MARK:P-BTC-106500-160625,SELL,0.1,0.0
MARK:C-BTC-108000-160625,BUY,0.1,0.10001
MARK:P-BTC-105500-160625,BUY,0.1,0.0
MARK:C-BTC-106500-160625,BUY,0.1,712.917021023645
MARK:P-BTC-106500-160625,BUY,0.1,712.917021023645
MARK:C-BTC-108000-160625,SELL,0.1,0.09999000000000001
MARK:P-BTC-105500-160625,SELL,0.1,712.774451876355
MARK:C-BTC-107000-170625,SELL,0.1,0.09999000000000001
MARK:P-BTC-107000-170625,SELL,0.1,1420.995482020422
MARK:C-BTC-108000-170625,BUY,0.1,0.10001
MARK:P-BTC-106000-170625,BUY,0.1,421.179709539578
MARK:C-BTC-107000-170625,BUY,0.1,0.10001
MARK:P-BTC-107000-170625,BUY,0.1,1421.279709539578
MARK:C-BTC-108000-170625,SELL,0.1,0.09999000000000001
